m2_dpo.owl,m1_nbo.owl,m1_dpo.owl,m2_nbo.owl,definition,m2_union,definition_name,m1_union,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001333)
         and (towards some behavior))))",2,http://ebi.ac.uk#Pattern975,0,
,,,14,"BFO_0000056 some 
    (involuntary movement behavior
     and (has_quality some continuant))",15,http://ebi.ac.uk#Pattern732,0,
1,,,,"quality
 and (inheres_in some oviposition)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern974,0,
,,,1,"cognitive behavior
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern731,0,
,,,6,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (frequency
         and (towards some liquid consumption))))",7,http://ebi.ac.uk#Pattern973,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some Thing))))",2,http://ebi.ac.uk#Pattern730,0,
1,,,,"quality
 and (inheres_in some circadian mating behavior)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern972,0,
,2,,2,"emission behavior
 and (is_about some GO_0050878)",3,http://ebi.ac.uk#Pattern971,1,
,,,5,"BFO_0000056 some 
    (Thing
     and (has_quality some 
        (increased rate
         and (towards some liquid consumption))))",6,http://ebi.ac.uk#Pattern970,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some Thing)))))",2,http://ebi.ac.uk#Pattern709,0,
,,,1,"GO_0002118
 and (by_means some Thing)",2,http://ebi.ac.uk#Pattern708,0,
,10,,10,"rhythmic process
 and (is_about some circadian rhythm)",11,http://ebi.ac.uk#Pattern707,1,
1,,,,"quality
 and (inheres_in some eclosion rhythm)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern949,0,
,,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_26421)",2,http://ebi.ac.uk#Pattern706,0,
3,,,,"quality
 and (inheres_in some chemosensory behavior)
 and (qualifier some qualitative)",4,http://ebi.ac.uk#Pattern948,0,
,2,,2,"BFO_0000056 some 
    (chemosensory behavior
     and (has_quality some dependent continuant))",3,http://ebi.ac.uk#Pattern705,1,
,,,1,"cognitive behavior
 and (in_response_to some alcohol consumption)",2,http://ebi.ac.uk#Pattern947,0,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some increased quality))",2,http://ebi.ac.uk#Pattern704,0,
,,,4,"BFO_0000056 some 
    (GO_0035176
     and (has_quality some continuant))",5,http://ebi.ac.uk#Pattern946,0,
1,,,,"quality
 and (inheres_in some oviposition)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern703,0,
1,,,,"quality
 and (inheres_in some circadian mating behavior)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern945,0,
,,,1,"BFO_0000056 some 
    (response to abiotic stimulus
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern702,0,
1,,1,,"quality
 and (inheres_in some circadian mating behavior)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern944,1,
,,,11,"BFO_0000056 some 
    (Thing
     and (has_quality some 
        (rate
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern701,0,
,,,5,"BFO_0000056 some 
    (regulation of feeding behavior
     and (has_quality some 
        (increased rate
         and (towards some liquid consumption))))",6,http://ebi.ac.uk#Pattern943,0,
,,,,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some Thing)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern700,1,
1,,,,"quality
 and (inheres_in some learning)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern942,0,
,1,,1,"behavioral control of external secretion
 and (by_means some UBERON_0001817)
 and (is_about some GO_0065008)",2,http://ebi.ac.uk#Pattern941,1,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some GO_0050968)",2,http://ebi.ac.uk#Pattern940,1,
,1,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some increased process quality))",2,http://ebi.ac.uk#Pattern719,1,
,1,,1,"BFO_0000056 some 
    (sleeping behavior
     and (has_quality some frequency))",2,http://ebi.ac.uk#Pattern718,1,
,,,1,"nociceptive behavior
 and (in_response_to some GO_0050982)",2,http://ebi.ac.uk#Pattern717,0,
,1,,1,"BFO_0000056 some 
    (GO_0042756
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0000125))))",2,http://ebi.ac.uk#Pattern959,1,
,,,1,"nociceptive behavior
 and (in_response_to some GO_0050981)",2,http://ebi.ac.uk#Pattern716,0,
,,,10,"BFO_0000056 some 
    (emission behavior
     and (has_quality some continuant))",11,http://ebi.ac.uk#Pattern958,0,
,,,3,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (decreased rate
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern715,0,
,,,1,"liquid consumption
 and (has_participant some CHEBI_36902)",2,http://ebi.ac.uk#Pattern957,0,
,1,,1,"social behavior
 and (is_about some motor coordination)",2,http://ebi.ac.uk#Pattern714,1,
,,,1,"associative learning behavior
 and (is_about some emission behavior)",2,http://ebi.ac.uk#Pattern956,0,
1,,1,,"quality
 and (inheres_in some memory)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern713,1,
,1,,1,"associative learning behavior
 and (is_about some behavioral control of production of sound)",2,http://ebi.ac.uk#Pattern955,1,
,,,55,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some Thing))",56,http://ebi.ac.uk#Pattern712,0,
24,,,,"quality
 and (inheres_in some behavior)
 and (qualifier some qualitative)",25,http://ebi.ac.uk#Pattern954,0,
,,,2,"Thing
 and (has_participant some CHEBI_27958)",3,http://ebi.ac.uk#Pattern711,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (decreased rate
         and (towards some feeding behavior))))",2,http://ebi.ac.uk#Pattern953,1,
,,,3,"BFO_0000056 some 
    (behavioral control of excretion
     and (has_quality some continuant))",4,http://ebi.ac.uk#Pattern710,0,
24,,24,,"quality
 and (inheres_in some behavior)
 and (qualifier some deviation(from_normal))",25,http://ebi.ac.uk#Pattern952,1,
1,,,,"quality
 and (inheres_in some optokinetic behavior)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern951,0,
1,,1,,"quality
 and (inheres_in some optokinetic behavior)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern950,1,
,53,,53,"BFO_0000056 some 
    (sleeping behavior
     and (has_quality some dependent continuant))",54,http://ebi.ac.uk#Pattern97,1,
,25,,25,"regulates some 
    (food consumption or behavior)",26,http://ebi.ac.uk#Pattern1192,1,
,,,1,"BFO_0000056 some 
    (GO_0008050
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern98,0,
,,,1,"food consumption
 and (has_participant some Thing)",2,http://ebi.ac.uk#Pattern1191,0,
1,,,,"Thing
 and (inheres_in some organism)",2,http://ebi.ac.uk#Pattern95,0,
,,,,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some behavior)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern1194,1,
,3,,3,"somatic sensation related behavior
 and (in_response_to some GO_0050955)",4,http://ebi.ac.uk#Pattern96,1,
,2,,2,"emission behavior
 and (is_about some secretion)",3,http://ebi.ac.uk#Pattern1193,1,
,,,1,"BFO_0000056 some 
    (visual behavior
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern93,0,
,,,1,"posture
 and (has_participant some UBERON_0000026)",2,http://ebi.ac.uk#Pattern1196,0,
1,,,,"Thing
 and (inheres_in some memory)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern94,0,
,,,1,"somatic sensation related behavior
 and (has_participant some UBERON_0000309)",2,http://ebi.ac.uk#Pattern1195,0,
,1,,1,"multi-organism behavior
 and (by_means some irritability behavior)",2,http://ebi.ac.uk#Pattern91,1,
,,,1,"behavior
 and (is_about some PATO_0000040)",2,http://ebi.ac.uk#Pattern1198,0,
,,,2,"BFO_0000056 some 
    (multicellular organismal process
     and (has_quality some PATO_0001309))",3,http://ebi.ac.uk#Pattern92,0,
,,,,"BFO_0000056 some 
    ((regulation of consumption behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern1197,1,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased frequency
         and (towards some consumption behavior))))",3,http://ebi.ac.uk#Pattern90,0,
,,,1,"has_quality some 
    (continuant
     and (towards some pleasure behavior))",2,http://ebi.ac.uk#Pattern1190,0,
,,,3,"Thing
 and (in_response_to some GO_0050955)",4,http://ebi.ac.uk#Pattern929,0,
,,,1,"Thing
 and (in_response_to some morphine consumption)",2,http://ebi.ac.uk#Pattern928,0,
1,,1,,"dependent continuant
 and (inheres_in some memory)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern927,1,
1,,1,,"quality
 and (inheres_in some feeding behavior)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern926,1,
24,,,,"quality
 and (inheres_in some biological_process)
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern925,0,
,1,,1,"behavioral response to xenobiotics
 and (in_response_to some nicotine consumption)",2,http://ebi.ac.uk#Pattern924,1,
,2,,2,"associative learning behavior
 and (is_about some emotional behavior)",3,http://ebi.ac.uk#Pattern923,1,
,,,1,"associative learning behavior
 and (in_response_to some social behavior)",2,http://ebi.ac.uk#Pattern922,0,
1,,,,"quality
 and (inheres_in some feeding behavior)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern921,0,
,,,1,"cognitive behavior
 and (has_participant some UBERON_0000309)",2,http://ebi.ac.uk#Pattern920,0,
,,,11,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (Thing
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern1199,0,
,1,,1,"feeding behavior
 and (has_participant some CHEBI_16236)",2,http://ebi.ac.uk#Pattern99,1,
1,,,,"quality
 and (inheres_in some hatching behavior)
 and (qualifier some continuant)",2,http://ebi.ac.uk#Pattern1181,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (qualitative
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1180,0,
,,,1,"somatic sensation related behavior
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern1183,0,
,,,3,"hallucination
 and (by_means some UBERON_0000480)",4,http://ebi.ac.uk#Pattern1182,0,
16,,16,,"quality
 and (inheres_in some single-organism behavior)
 and (qualifier some abnormal)",17,http://ebi.ac.uk#Pattern1185,4,
,,,6,"cognitive behavior
 and (in_response_to some GO_0019233)",7,http://ebi.ac.uk#Pattern1184,0,
1,,,,"continuant
 and (inheres_in some male courtship behavior, veined wing generated song production)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1187,0,
,20,,20,"BFO_0000056 some 
    (voluntary movement behavior
     and (has_quality some dependent continuant))",21,http://ebi.ac.uk#Pattern1186,1,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some GO_0050967)",2,http://ebi.ac.uk#Pattern939,1,
,1,,1,"cutaneous sensation behavior
 and (in_response_to some GO_0050966)",2,http://ebi.ac.uk#Pattern938,1,
,,,3,"BFO_0000056 some 
    (non-rapid eye movement sleep behavior
     and (has_quality some continuant))",4,http://ebi.ac.uk#Pattern937,0,
,,,9,"BFO_0000056 some 
    (vestibular behavior
     and (has_quality some Thing))",10,http://ebi.ac.uk#Pattern936,0,
,,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_38260)",2,http://ebi.ac.uk#Pattern935,0,
,,,1,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern934,0,
,,,1,"has_quality some 
    (PATO_0002361
     and (towards some learning and/or memory behavior))",2,http://ebi.ac.uk#Pattern933,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001333)
         and (towards some Thing))))",2,http://ebi.ac.uk#Pattern932,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (Thing
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern931,0,
,16,,16,"BFO_0000056 some 
    (circadian behavior
     and (has_quality some dependent continuant))",17,http://ebi.ac.uk#Pattern1189,1,
,13,,13,"has_quality some 
    (PATO_0002361
     and (towards some emotional behavior))",14,http://ebi.ac.uk#Pattern930,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased quality
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1188,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (decreased rate
         and (towards some Thing))))",2,http://ebi.ac.uk#Pattern909,0,
,,,2,"BFO_0000056 some 
    (circadian rhythm
     and (has_quality some frequency))",3,http://ebi.ac.uk#Pattern908,0,
,6,,6,"behavioral response to addictive substance
 and (in_response_to some Thing)",7,http://ebi.ac.uk#Pattern907,2,
,,,7,"BFO_0000056 some 
    (behavior
     and (has_quality some frequency))",8,http://ebi.ac.uk#Pattern906,0,
,,,5,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased process quality
         and (towards some liquid consumption))))",6,http://ebi.ac.uk#Pattern905,0,
,,,2,"behavior
 and (has_participant some CHEBI_16236)",3,http://ebi.ac.uk#Pattern904,0,
,,,1,"Thing
 and (in_response_to some GO_0050968)",2,http://ebi.ac.uk#Pattern903,0,
,,,3,"BFO_0000056 some 
    (courtship behavior
     and (has_quality some continuant))",4,http://ebi.ac.uk#Pattern902,0,
,1,,1,"social behavior
 and (in_response_to some emotional conditioning)",2,http://ebi.ac.uk#Pattern901,1,
,,,1,"Thing
 and (in_response_to some GO_0050965)",2,http://ebi.ac.uk#Pattern900,0,
2,,2,,"dependent continuant
 and (inheres_in some proboscis extension reflex)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern919,1,
1,,,,"quality
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern918,0,
,,,1,"associative learning behavior
 and (in_response_to some learning and/or memory behavior)",2,http://ebi.ac.uk#Pattern917,0,
,1,,1,regulates some regulation of consumption of an addictive substance,2,http://ebi.ac.uk#Pattern916,1,
1,,1,,"quality
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern915,1,
,8,,8,"BFO_0000056 some 
    (vestibular behavior
     and (has_quality some quality))",9,http://ebi.ac.uk#Pattern914,2,
1,,,,"quality
 and (inheres_in some memory)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern913,0,
,,,6,"BFO_0000056 some 
    (mating behavior
     and (has_quality some continuant))",7,http://ebi.ac.uk#Pattern912,0,
2,,,,"quality
 and (inheres_in some proboscis extension reflex)
 and (qualifier some Thing)",3,http://ebi.ac.uk#Pattern911,0,
,,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some increased quality))))
     and (qualifier some PATO_0001333))",2,http://ebi.ac.uk#Pattern910,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (process quality
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern53,0,
,,,1,"BFO_0000056 some 
    (food consumption
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern54,0,
,,,,"emission behavior
 and (by_means some UBERON_0001256)
 and (is_about some GO_0060073)",1,http://ebi.ac.uk#Pattern51,1,
,,,10,"Thing
 and ((has_participant some CHEBI_33290) or (has_participant some PATO_0000145))",11,http://ebi.ac.uk#Pattern1150,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (dependent continuant
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern52,0,
,,,1,"BFO_0000056 some 
    (GO_0060273
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern1152,0,
,,,1,"BFO_0000056 some 
    (occurrent
     and (has_quality some frequency))",2,http://ebi.ac.uk#Pattern50,0,
,1,,1,"consumption behavior
 and (has_participant some CHEBI_18723)",2,http://ebi.ac.uk#Pattern1151,1,
,,,1,"associative learning behavior
 and (in_response_to some behavior)",2,http://ebi.ac.uk#Pattern1154,0,
1,,,,"quality
 and (inheres_in some learning)
 and (qualifier some dependent continuant)",2,http://ebi.ac.uk#Pattern1153,0,
,,,2,"BFO_0000056 some 
    (non-rapid eye movement sleep behavior
     and (has_quality some quality))",3,http://ebi.ac.uk#Pattern1156,0,
,,,3,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some Thing))",4,http://ebi.ac.uk#Pattern1155,0,
,,,2,"social behavior
 and (is_about some emotional behavior)",3,http://ebi.ac.uk#Pattern59,0,
4,,4,,"dependent continuant
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some abnormal)",5,http://ebi.ac.uk#Pattern1158,1,
,,,6,"BFO_0000056 some 
    (regulation of feeding behavior
     and (has_quality some increased rate))",7,http://ebi.ac.uk#Pattern1157,0,
,,,2,"BFO_0000056 some 
    (single-organism behavior
     and (has_quality some frequency))",3,http://ebi.ac.uk#Pattern57,0,
4,,4,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some deviation(from_normal))",5,http://ebi.ac.uk#Pattern58,1,
,26,,26,"BFO_0000056 some 
    (cognitive behavior
     and (has_quality some quality))",27,http://ebi.ac.uk#Pattern1159,9,
2,,,,"quality
 and (inheres_in some system process)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern55,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (decreased quality
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern56,0,
,,,1,"has_quality some 
    (lacking processual parts
     and (towards some behavior))",2,http://ebi.ac.uk#Pattern64,0,
,1,,1,"posture
 and (has_participant some UBERON_0009569)",2,http://ebi.ac.uk#Pattern65,1,
,25,,25,"BFO_0000056 some 
    (feeding behavior
     and (has_quality some quality))",26,http://ebi.ac.uk#Pattern62,2,
,,,1,"learning and/or memory behavior
 and (in_response_to some emotional conditioning)",2,http://ebi.ac.uk#Pattern63,0,
4,,,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some qualitative)",5,http://ebi.ac.uk#Pattern60,0,
,2,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased frequency
         and (towards some feeding behavior))))",3,http://ebi.ac.uk#Pattern1141,1,
,1,,1,"behavioral response to xenobiotics
 and (in_response_to some morphine consumption)",2,http://ebi.ac.uk#Pattern61,1,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (frequency
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1140,1,
,,,1,"BFO_0000056 some 
    (regulation of mating preference
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern1143,0,
4,,4,,"quality
 and (inheres_in some rhythmic behavior)
 and (qualifier some abnormal)",5,http://ebi.ac.uk#Pattern1142,1,
,,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_38166)",2,http://ebi.ac.uk#Pattern1145,0,
,3,,3,"chemosensory behavior
 and (in_response_to some system process)",4,http://ebi.ac.uk#Pattern1144,2,
,1,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_38164)",2,http://ebi.ac.uk#Pattern1147,1,
,,,1,"cognitive behavior
 and (in_response_to some sensory perception of touch)",2,http://ebi.ac.uk#Pattern1146,0,
,,,53,"BFO_0000056 some 
    (sleeping behavior
     and (has_quality some continuant))",54,http://ebi.ac.uk#Pattern68,0,
,,,25,"regulates some 
    (liquid consumption or Thing)",26,http://ebi.ac.uk#Pattern1149,0,
,,,1,"Thing
 and (in_response_to some nicotine consumption)",2,http://ebi.ac.uk#Pattern69,0,
,,,1,"liquid consumption
 and (has_participant some CHEBI_2571)",2,http://ebi.ac.uk#Pattern1148,0,
,,,2,"emission behavior
 and (is_about some transport)",3,http://ebi.ac.uk#Pattern66,0,
,1,,1,"BFO_0000056 some 
    (cutaneous sensation behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern67,1,
,,,1,"cognitive behavior
 and (in_response_to some PATO_0001306)",2,http://ebi.ac.uk#Pattern75,0,
,,,4,"BFO_0000056 some 
    (behavior
     and (has_quality some decreased rate))",5,http://ebi.ac.uk#Pattern1170,0,
,,,2,"BFO_0000056 some 
    (GO_0060259
     and (has_quality some increased quality))",3,http://ebi.ac.uk#Pattern76,0,
,,,1,"BFO_0000056 some 
    (GO_0060259
     and (has_quality some decreased quality))",2,http://ebi.ac.uk#Pattern73,0,
,1,,1,"has_quality some 
    (PATO_0002361
     and (towards some memory behavior))",2,http://ebi.ac.uk#Pattern1172,1,
,,,1,"behavior
 and (by_means some UBERON_0005725)",2,http://ebi.ac.uk#Pattern74,0,
,,,7,"BFO_0000056 some 
    (behavior
     and (has_quality some increased rate))",8,http://ebi.ac.uk#Pattern1171,0,
,14,,14,"BFO_0000056 some 
    (emotional behavior
     and (has_quality some dependent continuant))",15,http://ebi.ac.uk#Pattern71,1,
,,,1,"BFO_0000056 some 
    (mating behavior
     and (has_quality some process quality))",2,http://ebi.ac.uk#Pattern1174,0,
,1,,1,"BFO_0000056 some 
    (regulation of feeding behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern72,1,
1,,,,"Thing
 and (inheres_in some circadian mating behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern1173,0,
,,,3,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some deviation(from_normal)))",4,http://ebi.ac.uk#Pattern1176,0,
,1,,1,"regulation of drinking preference behavior
 and (has_participant some CHEBI_50584)",2,http://ebi.ac.uk#Pattern70,1,
,1,,1,"behavior
 and (by_means some UBERON_0001256)
 and (is_about some GO_0060073)",2,http://ebi.ac.uk#Pattern1175,1,
,,,3,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some qualitative))",4,http://ebi.ac.uk#Pattern1178,0,
,,,13,"BFO_0000056 some 
    (reproductive behavior
     and (has_quality some Thing))",14,http://ebi.ac.uk#Pattern1177,0,
1,,,,"quality
 and (inheres_in some locomotor rhythm)
 and (qualifier some dependent continuant)",2,http://ebi.ac.uk#Pattern1179,0,
,,,6,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (frequency
         and (towards some liquid consumption))))",7,http://ebi.ac.uk#Pattern79,0,
